Win,Lose
297,164
18,379
81,267
10,271
230,390
344,343
243,19
113,217
232,427
188,109
296,261
124,41
313,229
141,68
454,132
454,271
64,116
367,344
288,169
49,70
269,221
409,212
421,27
422,462
92,12
152,498
30,217
73,471
289,136
65,272
208,386
245,387
244,409
471,356
306,258
41,404
323,404
198,221
54,12
125,82
111,208
141,15
360,468
274,158
263,43
302,69
285,90
243,368
292,73
103,363
386,469
478,80
265,346
311,56
168,490
372,158
497,446
68,313
69,136
372,79
446,44
172,262
479,382
346,490
159,185
322,90
469,341
305,481
224,233
209,358
491,419
123,3
311,77
460,270
454,363
91,462
36,275
23,261
188,206
214,149
462,460
278,356
479,249
329,326
203,462
195,440
406,343
203,344
244,217
84,127
422,345
446,367
157,157
14,120
177,267
131,350
67,401
171,10
245,257
228,68
333,197
11,138
27,150
479,113
24,204
211,234
233,3
69,394
416,271
26,199
463,105
499,314
319,76
311,500
46,92
207,412
243,55
64,281
407,452
161,382
444,187
490,432
353,277
180,11
86,343
201,444
333,286
447,220
373,21
313,56
280,254
268,455
61,409
273,285
351,102
240,401
13,342
456,51
437,33
160,13
431,375
107,296
482,231
82,62
166,263
417,19
260,243
101,455
36,319
49,375
384,326
27,280
246,207
164,43
437,117
268,98
123,379
23,228
277,161
348,141
12,469
433,263
137,413
118,226
287,96
392,434
313,483
345,288
59,151
446,228
335,10
475,73
318,256
351,398
146,170
15,172
315,226
306,274
441,448
86,157
173,477
116,469
441,451
320,272
303,456
288,177
4,128
418,192
334,284
155,439
93,423
303,23
411,441
314,333
253,472
412,349
301,436
202,212
384,136
319,212
419,32
337,210
187,234
491,99
467,239
325,362
337,479
111,79
38,366
387,332
5,273
27,390
137,113
270,341
27,113
497,392
215,261
38,27
104,481
50,421
422,143
361,93
75,237
397,223
430,248
44,216
394,160
423,244
268,379
178,320
102,378
480,199
275,452
384,460
190,76
252,465
378,129
288,134
373,12
153,454
27,106
473,45
429,441
283,270
262,3
253,379
388,235
161,51
487,433
298,345
449,78
9,52
172,439
194,339
176,232
34,120
326,134
212,189
103,24
270,366
177,479
134,103
33,313
140,445
194,267
144,33
437,307
75,475
113,41
392,330
456,256
92,281
340,223
481,135
189,153
409,236
179,438
254,158
18,194
263,125
481,87
356,14
372,388
257,72
412,377
204,26
464,328
143,197
197,112
114,435
159,255
120,283
293,220
432,134
220,176
312,392
73,60
188,166
364,422
248,441
248,228
383,309
130,147
258,437
356,168
137,264
227,422
359,128
275,51
105,19
121,157
302,18
370,478
108,135
278,269
85,262
456,214
137,296
72,64
377,117
444,284
458,116
24,14
392,253
111,348
178,293
133,149
410,307
96,464
294,340
210,474
236,258
330,411
307,257
235,409
53,266
231,405
182,115
393,394
191,267
142,154
493,147
51,407
28,255
88,321
268,95
100,299
310,275
67,90
141,147
156,430
316,304
216,177
63,457
303,269
458,301
310,194
434,337
128,195
449,361
190,487
154,368
464,398
386,486
326,101
214,262
354,375
163,161
349,228
67,473
404,183
269,28
33,57
152,147
277,169
154,47
290,126
59,153
249,101
481,220
408,352
465,23
343,186
175,13
370,63
67,320
190,111
348,302
204,4
414,491
397,386
256,207
471,346
79,474
321,340
126,423
75,438
356,390
272,321
257,143
275,97
